ID,question,knowledge concept,option,answer,image_path,knowledge concept description
0,Which of these states is farthest north?,Geography,A. West Virginia | B. Louisiana | C. Arizona | D. Oklahoma,West Virginia,scienceqa_images_fixed/0.jpg,"Maps have four cardinal directions, or main directions. Those directions are north, south, east, and west.
A compass rose is a set of arrows that point to the cardinal directions. A compass rose usually shows only the first letter of each cardinal direction.
The north arrow points to the North Pole. On most maps, north is at the top of the map."
1,Identify the question that Tom and Justin's experiment can best answer.,Designing experiments,A. Do ping pong balls stop rolling along the ground sooner after being launched from a 30° angle or a 45° angle? | B. Do ping pong balls travel farther when launched from a 30° angle compared to a 45° angle?,Do ping pong balls travel farther when launched from a 30° angle compared to a 45° angle?,scienceqa_images_fixed/1.jpg,"Experiments can be designed to answer specific questions. How can you identify the questions that a certain experiment can answer? In order to do this, you need to figure out what was tested and what was measured during the experiment.
Imagine an experiment with two groups of daffodil plants. One group of plants was grown in sandy soil, and the other was grown in clay soil. Then, the height of each plant was measured.
First, identify the part of the experiment that was tested. The part of an experiment that is tested usually involves the part of the experimental setup that is different or changed. In the experiment described above, each group of plants was grown in a different type of soil. So, the effect of growing plants in different soil types was tested.
Then, identify the part of the experiment that was measured. The part of the experiment that is measured may include measurements and calculations. In the experiment described above, the heights of the plants in each group were measured.
Experiments can answer questions about how the part of the experiment that is tested affects the part that is measured. So, the experiment described above can answer questions about how soil type affects plant height.
Examples of questions that this experiment can answer include:
Does soil type affect the height of daffodil plants?
Do daffodil plants in sandy soil grow taller than daffodil plants in clay soil?
Are daffodil plants grown in sandy soil shorter than daffodil plants grown in clay soil?"
2,Identify the question that Kathleen and Bryant's experiment can best answer.,Designing experiments,A. Does Kathleen's snowboard slide down a hill in less time when it has a layer of wax or when it does not have a layer of wax? | B. Does Kathleen's snowboard slide down a hill in less time when it has a thin layer of wax or a thick layer of wax?,Does Kathleen's snowboard slide down a hill in less time when it has a layer of wax or when it does not have a layer of wax?,scienceqa_images_fixed/2.jpg,"Experiments can be designed to answer specific questions. How can you identify the questions that a certain experiment can answer? In order to do this, you need to figure out what was tested and what was measured during the experiment.
Imagine an experiment with two groups of daffodil plants. One group of plants was grown in sandy soil, and the other was grown in clay soil. Then, the height of each plant was measured.
First, identify the part of the experiment that was tested. The part of an experiment that is tested usually involves the part of the experimental setup that is different or changed. In the experiment described above, each group of plants was grown in a different type of soil. So, the effect of growing plants in different soil types was tested.
Then, identify the part of the experiment that was measured. The part of the experiment that is measured may include measurements and calculations. In the experiment described above, the heights of the plants in each group were measured.
Experiments can answer questions about how the part of the experiment that is tested affects the part that is measured. So, the experiment described above can answer questions about how soil type affects plant height.
Examples of questions that this experiment can answer include:
Does soil type affect the height of daffodil plants?
Do daffodil plants in sandy soil grow taller than daffodil plants in clay soil?
Are daffodil plants grown in sandy soil shorter than daffodil plants grown in clay soil?"
6,What is the probability that a goat produced by this cross will be homozygous dominant for the myotonia congenita gene?,Genes to traits,A. 1/4 | B. 0/4 | C. 4/4 | D. 2/4 | E. 3/4,1/4,scienceqa_images_fixed/6.jpg,"Offspring genotypes: homozygous or heterozygous?
How do you determine whether an organism is homozygous or heterozygous for a gene? Look at the alleles in the organism's genotype for that gene.
An organism with two identical alleles for a gene is homozygous for that gene.
If both alleles are dominant, the organism is homozygous dominant for the gene.
If both alleles are recessive, the organism is homozygous recessive for the gene.
An organism with two different alleles for a gene is heterozygous for that gene.
In a Punnett square, each box represents a different outcome, or result. Each of the four outcomes is equally likely to happen. Each box represents one way the parents' alleles can combine to form an offspring's genotype. 
Because there are four boxes in the Punnett square, there are four possible outcomes.
An event is a set of one or more outcomes. The probability of an event is a measure of how likely the event is to happen. This probability is a number between 0 and 1, and it can be written as a fraction:
probability of an event = number of ways the event can happen / number of equally likely outcomes
You can use a Punnett square to calculate the probability that a cross will produce certain offspring. For example, the Punnett square below has two boxes with the genotype Ff. It has one box with the genotype FF and one box with the genotype ff. This means there are two ways the parents' alleles can combine to form Ff. There is one way they can combine to form FF and one way they can combine to form ff.
 | F | f
F | FF | Ff
f | Ff | ff
Consider an event in which this cross produces an offspring with the genotype ff. The probability of this event is given by the following fraction:
number of ways the event can happen / number of equally likely outcomes = number of boxes with the genotype ff / total number of boxes = 1 / 4"
7,Compare the average kinetic energies of the particles in each sample. Which sample has the higher temperature?,Particle motion and energy,A. neither; the samples have the same temperature | B. sample A | C. sample B,sample B,scienceqa_images_fixed/7.jpg,"The temperature of a substance depends on the average kinetic energy of the particles in the substance. The higher the average kinetic energy of the particles, the higher the temperature of the substance.
The kinetic energy of a particle is determined by its mass and speed. For a pure substance, the greater the mass of each particle in the substance and the higher the average speed of the particles, the higher their average kinetic energy."
9,Which of these organisms contains matter that was once part of the phytoplankton?,Ecological interactions,A. black rockfish | B. sea otter,black rockfish,scienceqa_images_fixed/9.jpg,"A food web is a model.
A food web shows where organisms in an ecosystem get their food. Models can make things in nature easier to understand because models can represent complex things in a simpler way. If a food web showed every organism in an ecosystem, the food web would be hard to understand. So, each food web shows how some organisms in an ecosystem can get their food.
Arrows show how matter moves.
A food web has arrows that point from one organism to another. Each arrow shows the direction that matter moves when one organism eats another organism. An arrow starts from the organism that is eaten. The arrow points to the organism that is doing the eating.
An organism in a food web can have more than one arrow pointing from it. This shows that the organism is eaten by more than one other organism in the food web.
An organism in a food web can also have more than one arrow pointing to it. This shows that the organism eats more than one other organism in the food web."
10,Which solution has a higher concentration of blue particles?,Solutions,A. neither; their concentrations are the same | B. Solution B | C. Solution A,neither; their concentrations are the same,scienceqa_images_fixed/10.jpg,"A solution is made up of two or more substances that are completely mixed. In a solution, solute particles are mixed into a solvent. The solute cannot be separated from the solvent by a filter. For example, if you stir a spoonful of salt into a cup of water, the salt will mix into the water to make a saltwater solution. In this case, the salt is the solute. The water is the solvent.
The concentration of a solute in a solution is a measure of the ratio of solute to solvent. Concentration can be described in terms of particles of solute per volume of solvent.
concentration = particles of solute / volume of solvent"
11,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?,Magnets,A. The strength of the magnetic force is the same in both pairs. | B. The magnetic force is stronger in Pair 2. | C. The magnetic force is stronger in Pair 1.,The magnetic force is stronger in Pair 1.,scienceqa_images_fixed/11.jpg,"Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart.
These pulls and pushes between magnets are called magnetic forces. The stronger the magnetic force between two magnets, the more strongly the magnets attract or repel each other.
You can change the strength of a magnetic force between two magnets by changing the distance between them. The magnetic force is stronger when the magnets are closer together."
13,What does pollen help a plant do?,Plants,A. make seeds | B. grow bigger | C. grow new leaves,make seeds,scienceqa_images_fixed/13.jpg,"Many plants have flowers. These plants can use their flowers to reproduce, or make new plants like themselves. How do plants use their flowers to reproduce?
First, the male part of the flower makes pollen, and the female part makes eggs. Animals, wind, or water can move pollen. Pollination is what happens when pollen is moved to the female part of the flower.
After pollination, sperm from the pollen can combine with the eggs. This is called fertilization. The fertilized eggs grow into seeds. The fruit grows around the seeds. Later, a seed can fall out of the fruit. It can germinate, or start to grow into a new plant."
16,Which property matches this object?,Materials,A. flexible | B. sticky,flexible,scienceqa_images_fixed/16.jpg,"An object has different properties. A property of an object can tell you how it looks, feels, tastes, or smells. Properties can also tell you how an object will behave when something happens to it."
