id,question,choices,answer_index,answer_text,lecture,explanation,category,grade,image_filename
0,Which of these states is farthest north?,A. West Virginia | B. Louisiana | C. Arizona | D. Oklahoma,0,West Virginia,"Maps have four cardinal directions, or main directions. Those directions are north, south, east, and west.
A compass rose is a set of arrows that point to the cardinal directions. A compass rose usually shows only the first letter of each cardinal direction.
The north arrow points to the North Pole. On most maps, north is at the top of the map.",,Geography,grade2,0.jpg
1,Identify the question that Tom and Justin's experiment can best answer.,A. Do ping pong balls stop rolling along the ground sooner after being launched from a 30° angle or a 45° angle? | B. Do ping pong balls travel farther when launched from a 30° angle compared to a 45° angle?,1,Do ping pong balls travel farther when launched from a 30° angle compared to a 45° angle?,"Experiments can be designed to answer specific questions. How can you identify the questions that a certain experiment can answer? In order to do this, you need to figure out what was tested and what was measured during the experiment.
Imagine an experiment with two groups of daffodil plants. One group of plants was grown in sandy soil, and the other was grown in clay soil. Then, the height of each plant was measured.
First, identify the part of the experiment that was tested. The part of an experiment that is tested usually involves the part of the experimental setup that is different or changed. In the experiment described above, each group of plants was grown in a different type of soil. So, the effect of growing plants in different soil types was tested.
Then, identify the part of the experiment that was measured. The part of the experiment that is measured may include measurements and calculations. In the experiment described above, the heights of the plants in each group were measured.
Experiments can answer questions about how the part of the experiment that is tested affects the part that is measured. So, the experiment described above can answer questions about how soil type affects plant height.
Examples of questions that this experiment can answer include:
Does soil type affect the height of daffodil plants?
Do daffodil plants in sandy soil grow taller than daffodil plants in clay soil?
Are daffodil plants grown in sandy soil shorter than daffodil plants grown in clay soil?",,Designing experiments,grade8,1.jpg
2,Identify the question that Kathleen and Bryant's experiment can best answer.,A. Does Kathleen's snowboard slide down a hill in less time when it has a layer of wax or when it does not have a layer of wax? | B. Does Kathleen's snowboard slide down a hill in less time when it has a thin layer of wax or a thick layer of wax?,0,Does Kathleen's snowboard slide down a hill in less time when it has a layer of wax or when it does not have a layer of wax?,"Experiments can be designed to answer specific questions. How can you identify the questions that a certain experiment can answer? In order to do this, you need to figure out what was tested and what was measured during the experiment.
Imagine an experiment with two groups of daffodil plants. One group of plants was grown in sandy soil, and the other was grown in clay soil. Then, the height of each plant was measured.
First, identify the part of the experiment that was tested. The part of an experiment that is tested usually involves the part of the experimental setup that is different or changed. In the experiment described above, each group of plants was grown in a different type of soil. So, the effect of growing plants in different soil types was tested.
Then, identify the part of the experiment that was measured. The part of the experiment that is measured may include measurements and calculations. In the experiment described above, the heights of the plants in each group were measured.
Experiments can answer questions about how the part of the experiment that is tested affects the part that is measured. So, the experiment described above can answer questions about how soil type affects plant height.
Examples of questions that this experiment can answer include:
Does soil type affect the height of daffodil plants?
Do daffodil plants in sandy soil grow taller than daffodil plants in clay soil?
Are daffodil plants grown in sandy soil shorter than daffodil plants grown in clay soil?",,Designing experiments,grade7,2.jpg
3,"Which tense does the sentence use?
Mona will print her name with care.",A. present tense | B. future tense | C. past tense,1,future tense,"Present tense verbs tell you about something that is happening now.
Most present-tense verbs are regular. They have no ending, or they end in -s or -es.
Two verbs are irregular in the present tense, to be and to have. You must remember their forms.
Past tense verbs tell you about something that has already happened.
Most past-tense verbs are regular. They end in -ed.
Some verbs are irregular in the past tense. You must remember their past-tense forms.
Future tense verbs tell you about something that is going to happen.
All future-tense verbs use the word will.
Present | Past | Future
walk, walks | walked | will walk
go, goes | went | will go",,Verb tense,grade2,
4,"Complete the sentence.
Sewing an apron is a ().",A. chemical change | B. physical change,1,physical change,"Chemical changes and physical changes are two common ways matter can change.
In a chemical change, the type of matter changes. The types of matter before and after a chemical change are always different.
Burning a piece of paper is a chemical change. When paper gets hot enough, it reacts with oxygen in the air and burns. The paper and oxygen change into ash and smoke.
In a physical change, the type of matter stays the same. The types of matter before and after a physical change are always the same.
Cutting a piece of paper is a physical change. The cut pieces are still made of paper.
A change of state is a type of physical change. For example, ice melting is a physical change. Ice and liquid water are made of the same type of matter: water.",,Physical and chemical change,grade4,
5,Which of the following contains a vague pronoun reference?,A. Steven's brother Jim wondered whether he ran fast enough to qualify for the Boston Marathon. | B. Steven's brother Jim wondered whether Steven ran fast enough to qualify for the Boston Marathon.,0,Steven's brother Jim wondered whether he ran fast enough to qualify for the Boston Marathon.,"When writing, make sure to avoid vague pronoun references. A vague pronoun reference occurs when a pronoun could refer to more than one possible antecedent.
When Lisa and Kim finally landed, she breathed a sigh of relief.
The pronoun she could refer to either Lisa or Kim, so the meaning of the sentence is unclear.
Vague pronoun references can be corrected in one of two ways:
1. Replace the pronoun with its correct antecedent:
When Lisa and Kim finally landed, Lisa breathed a sigh of relief.
2. Rewrite the sentence:
Lisa breathed a sigh of relief when she and Kim finally landed.
A vague pronoun reference also occurs when they, them, their, theirs, it, or its is used without its antecedent.
They say that this nail polish dries in less than five minutes.
The pronoun they is used without its antecedent, so the meaning of the sentence is unclear.
This problem can be fixed by replacing the pronoun with its missing antecedent.
The advertisements say that this nail polish dries in less than five minutes.",,Pronouns,grade11,
6,What is the probability that a goat produced by this cross will be homozygous dominant for the myotonia congenita gene?,A. 1/4 | B. 0/4 | C. 4/4 | D. 2/4 | E. 3/4,0,1/4,"Offspring genotypes: homozygous or heterozygous?
How do you determine whether an organism is homozygous or heterozygous for a gene? Look at the alleles in the organism's genotype for that gene.
An organism with two identical alleles for a gene is homozygous for that gene.
If both alleles are dominant, the organism is homozygous dominant for the gene.
If both alleles are recessive, the organism is homozygous recessive for the gene.
An organism with two different alleles for a gene is heterozygous for that gene.
In a Punnett square, each box represents a different outcome, or result. Each of the four outcomes is equally likely to happen. Each box represents one way the parents' alleles can combine to form an offspring's genotype. 
Because there are four boxes in the Punnett square, there are four possible outcomes.
An event is a set of one or more outcomes. The probability of an event is a measure of how likely the event is to happen. This probability is a number between 0 and 1, and it can be written as a fraction:
probability of an event = number of ways the event can happen / number of equally likely outcomes
You can use a Punnett square to calculate the probability that a cross will produce certain offspring. For example, the Punnett square below has two boxes with the genotype Ff. It has one box with the genotype FF and one box with the genotype ff. This means there are two ways the parents' alleles can combine to form Ff. There is one way they can combine to form FF and one way they can combine to form ff.
 | F | f
F | FF | Ff
f | Ff | ff
Consider an event in which this cross produces an offspring with the genotype ff. The probability of this event is given by the following fraction:
number of ways the event can happen / number of equally likely outcomes = number of boxes with the genotype ff / total number of boxes = 1 / 4",,Genes to traits,grade8,6.jpg
7,Compare the average kinetic energies of the particles in each sample. Which sample has the higher temperature?,A. neither; the samples have the same temperature | B. sample A | C. sample B,2,sample B,"The temperature of a substance depends on the average kinetic energy of the particles in the substance. The higher the average kinetic energy of the particles, the higher the temperature of the substance.
The kinetic energy of a particle is determined by its mass and speed. For a pure substance, the greater the mass of each particle in the substance and the higher the average speed of the particles, the higher their average kinetic energy.",,Particle motion and energy,grade8,7.jpg
8,"What do these two changes have in common?
tearing a piece of paper
breaking a piece of glass",A. Both are only physical changes. | B. Both are chemical changes. | C. Both are caused by cooling. | D. Both are caused by heating.,0,Both are only physical changes.,"Chemical changes and physical changes are two common ways matter can change.
In a chemical change, the type of matter changes. The types of matter before and after a chemical change are always different.
Some chemical changes are caused by heating or cooling. For example, burning a piece of paper is a chemical change caused by heating. When paper gets hot enough, it re­acts with oxygen in the air and burns. The paper and oxygen change into ash and smoke.
In a physical change, the type of matter stays the same. The types of matter before and after a physical change are always the same.
A change of state is a type of physical change. Changes of state can be caused by heating or cooling. For example, ice melting is a physical change that can be caused by heating. Ice and liquid water are made of the same type of matter: water.
The law of conservation of mass says that all physical and chemical changes conserve mass. Conserve means to keep the same. So, the total mass before a physical or chemical change is equal to the total mass after the change.",,Physical and chemical change,grade4,
9,Which of these organisms contains matter that was once part of the phytoplankton?,A. black rockfish | B. sea otter,0,black rockfish,"A food web is a model.
A food web shows where organisms in an ecosystem get their food. Models can make things in nature easier to understand because models can represent complex things in a simpler way. If a food web showed every organism in an ecosystem, the food web would be hard to understand. So, each food web shows how some organisms in an ecosystem can get their food.
Arrows show how matter moves.
A food web has arrows that point from one organism to another. Each arrow shows the direction that matter moves when one organism eats another organism. An arrow starts from the organism that is eaten. The arrow points to the organism that is doing the eating.
An organism in a food web can have more than one arrow pointing from it. This shows that the organism is eaten by more than one other organism in the food web.
An organism in a food web can also have more than one arrow pointing to it. This shows that the organism eats more than one other organism in the food web.",,Ecological interactions,grade6,9.jpg
10,Which solution has a higher concentration of blue particles?,A. neither; their concentrations are the same | B. Solution B | C. Solution A,0,neither; their concentrations are the same,"A solution is made up of two or more substances that are completely mixed. In a solution, solute particles are mixed into a solvent. The solute cannot be separated from the solvent by a filter. For example, if you stir a spoonful of salt into a cup of water, the salt will mix into the water to make a saltwater solution. In this case, the salt is the solute. The water is the solvent.
The concentration of a solute in a solution is a measure of the ratio of solute to solvent. Concentration can be described in terms of particles of solute per volume of solvent.
concentration = particles of solute / volume of solvent",,Solutions,grade8,10.jpg
11,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?,A. The strength of the magnetic force is the same in both pairs. | B. The magnetic force is stronger in Pair 2. | C. The magnetic force is stronger in Pair 1.,2,The magnetic force is stronger in Pair 1.,"Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart.
These pulls and pushes between magnets are called magnetic forces. The stronger the magnetic force between two magnets, the more strongly the magnets attract or repel each other.
You can change the strength of a magnetic force between two magnets by changing the distance between them. The magnetic force is stronger when the magnets are closer together.",,Magnets,grade3,11.jpg
12,What is the volume of a large soup pot?,A. 7 liters | B. 7 milliliters,0,7 liters,"Measurements are written with both a number and a unit. The unit comes after the number. The unit shows what the number means.
Volume is a measurement of how much space something takes up.
There are many different units of volume. When you are using metric units, volume may be written in units of milliliters or liters.
There are 1,000 milliliters in 1 liter. So, 1 milliliter is much less than 1 liter.
A raindrop has a volume of about 20 milliliters, while a large soda bottle has a volume of 2 liters. The flask shown here measures volumes up to 500 milliliters.",,Units and measurement,grade5,
13,What does pollen help a plant do?,A. make seeds | B. grow bigger | C. grow new leaves,0,make seeds,"Many plants have flowers. These plants can use their flowers to reproduce, or make new plants like themselves. How do plants use their flowers to reproduce?
First, the male part of the flower makes pollen, and the female part makes eggs. Animals, wind, or water can move pollen. Pollination is what happens when pollen is moved to the female part of the flower.
After pollination, sperm from the pollen can combine with the eggs. This is called fertilization. The fertilized eggs grow into seeds. The fruit grows around the seeds. Later, a seed can fall out of the fruit. It can germinate, or start to grow into a new plant.",,Plants,grade4,13.jpg
