ID,question,knowledge concept,option,answer,image_path,knowledge concept description
3stpes_1,"As shown in the figure, a circle is drawn with vertex C of the square as the center. What is the measure of the central angle ∠ECF? ( )°",Properties and Understanding of Squares,A. 45; B. 60; C. 72; D. 90; E. No correct answer,D,extracted_images/1-1.png,"Properties and Understanding of Squares:
1. A square is a special type of parallelogram. A parallelogram with one pair of adjacent sides equal and one right angle is called a square, also known as a regular quadrilateral.
2. Both pairs of opposite sides are parallel; all four sides are equal; adjacent sides are perpendicular to each other.
3. All four angles are 90°, and the sum of the interior angles is 360°.
4. The diagonals are perpendicular to each other; the diagonals are equal in length and bisect each other; each diagonal bisects a pair of opposite angles.
5. A square is both a centrally symmetric figure and an axisymmetric figure (with four lines of symmetry)."
3stpes_1,"As shown in the figure, a circle is drawn with vertex C of the square as the center, and the radius of the circle is as shown in the figure. The circumference of this circle is () cm. (Use π = 3.14)",Circumference of Circles,A. 50.24; B. 25.12; C. 12.56; D. 6.28; E. No correct answer,B,extracted_images/1-2.png,"Circumference of Circles:
1. A line segment passing through the center of a circle with both endpoints on the circle is called the diameter, usually denoted by the letter d. A line segment connecting the center of the circle to any point on the circle is called the radius, usually denoted by the letter r.
2. The circumference of a circle = diameter × pi (C = πd) or the circumference of a circle = 2 × radius × pi (C = 2πr).
3. The circumference of a semicircle can be calculated using the formula C = πr + 2r.
4. In the same circle or congruent circles, there are an infinite number of radii and an infinite number of diameters. All radii and diameters in the same circle are equal. The length of the diameter is twice the length of the radius, and the length of the radius is half the length of the diameter."
3stpes_1,"As shown in the figure, a circle is drawn with the vertex C of a square as the center. The circumference of the circle is 25.12 cm. The length of the arc EF corresponding to the central angle ∠ECF is () cm.",Understanding Sectors,A. 50.24; B. 25.12; C. 12.56; D. 6.28; E. No correct answer,D,extracted_images/1-3.png,"Understanding Sectors:
1. A sector is a shape formed by a circular arc and the two radii connecting the endpoints of the arc to the center of the circle.
2. All radii in a sector are equal in length.
3. The part of the circle between two points A and B is called an ""arc"".
4. An angle with its vertex at the center of the circle is called a ""central angle""."
3stpes_1,"As shown in the figure, a circle is drawn with the vertex C of a square as the center. The circle intersects the sides BC and CD of the square at points E and F, respectively. What is the arc length of EF on this circle? ( ) cm.(π = 3.14)",Properties and Understanding of Squares;Circumference of Circles;Understanding Sectors,A. 50.24; B. 25.12; C. 12.56; D. 6.28; E. No correct answer,D,extracted_images/1-multi.png,"Properties and Understanding of Squares:
1. A square is a special type of parallelogram. A parallelogram with one pair of adjacent sides equal and one right angle is called a square, also known as a regular quadrilateral.
2. Both pairs of opposite sides are parallel; all four sides are equal; adjacent sides are perpendicular to each other.
3. All four angles are 90°, and the sum of the interior angles is 360°.
4. The diagonals are perpendicular to each other; the diagonals are equal in length and bisect each other; each diagonal bisects a pair of opposite angles.
5. A square is both a centrally symmetric figure and an axisymmetric figure (with four lines of symmetry).
Circumference of Circles:
1. A line segment passing through the center of a circle with both endpoints on the circle is called the diameter, usually denoted by the letter d. A line segment connecting the center of the circle to any point on the circle is called the radius, usually denoted by the letter r.
2. The circumference of a circle = diameter × pi (C = πd) or the circumference of a circle = 2 × radius × pi (C = 2πr).
3. The circumference of a semicircle can be calculated using the formula C = πr + 2r.
4. In the same circle or congruent circles, there are an infinite number of radii and an infinite number of diameters. All radii and diameters in the same circle are equal. The length of the diameter is twice the length of the radius, and the length of the radius is half the length of the diameter.
Understanding Sectors:
1. A sector is a shape formed by a circular arc and the two radii connecting the endpoints of the arc to the center of the circle.
2. All radii in a sector are equal in length.
3. The part of the circle between two points A and B is called an ""arc"".
4. An angle with its vertex at the center of the circle is called a ""central angle""."
3stpes_2,Mike has a conical water container. Each time he fills the cone with water and then pours it all into a cylindrical storage container. He repeats this process 6 times. How much water does he pour in total? ( ) cm3,Properties of Cones,A. 314; B. 628; C. 1256; D. 2512; E. No correct answer,B,extracted_images/2-1.png,"Properties of Cones:
1. The base of a cone is a circle, and the lateral surface of a cone is a curved surface.
2. The distance from the apex of the cone to the center of the base is the height of the cone.
3. When the lateral surface of a cone is unfolded, it forms a sector.
4. The line segment from the apex of the cone to any point on the edge of the base is called the slant height of the cone, and all slant heights are equal in length."
3stpes_2,"As shown in the diagram, Mike uses a conical container to pour a total of 628 cm3 of water into a cylindrical water storage container, just enough to fill it. What is the height of the cylinder in cm?",Volume and Capacity of Cylinders,A. 4; B. 8; C. 16; D. 20; E. No correct answer,B,extracted_images/2-2.png,"Volume and Capacity of Cylinders:
1. The formula for calculating the volume of a cylinder: The volume of a cylinder = base area × height.
2. In terms of letters: If V represents the volume of the cylinder, where r is the radius of the base and h is the height of the cylinder, then the formula for the volume of the cylinder is: V = πr²h.
3. The capacity of a cylinder usually refers to the amount of space a cylindrical container can hold. In the absence of special instructions, capacity and volume can be considered the same concept, using the same units and calculation methods.
4. π is generally taken as 3.14."
3stpes_2,The height of the cylindrical water storage container is as shown in the figure. Its height is equivalent to ( ) meters.,Conversion Rates and Calculations Between Length Units,A. 0.8; B. 0.08; C. 16; D. 8; E. No correct answer,B,extracted_images/2-3.png,"Conversion Rates and Calculations Between Length Units:
1. Conversion Rates between Length Units: 1 kilometer (km) = 1000 meters (m); 1 meter (m) = 10 decimeters (dm); 1 decimeter (dm) = 10 centimeters (cm); 1 centimeter (cm) = 10 millimeters (mm); 1 millimeter (mm) = 1000 nanometers (nm)
2. Converting between Different Units: To convert from a larger unit to a smaller unit, multiply by the conversion rate. To convert from a smaller unit to a larger unit, divide by the conversion rate.
3. To convert kilometers to meters: multiply by 1000.
4. To convert meters to decimeters: multiply by 10.
5. To convert decimeters to centimeters: multiply by 10.
6. To convert centimeters to millimeters: multiply by 10.
7. To convert millimeters to nanometers: multiply by 1000.
8. To convert nanometers to millimeters: divide by 1000.
9. To convert millimeters to centimeters: divide by 10.
10. To convert centimeters to decimeters: divide by 10.
11. To convert decimeters to meters: divide by 10.
12. To convert meters to kilometers: divide by 1000."
3stpes_2,"As shown in the figure, there is a cylindrical water storage container. Mike wants to fill it with water. He uses a conical water container, filling it completely with water each time and then pouring it all into the cylindrical container. After pouring water 6 times, the cylindrical container is just full. What is the height of the cylinder? ( ) m",Properties of Cones;Volume and Capacity of Cylinders;Conversion Rates and Calculations Between Length Units,A. 0.8; B. 0.08; C. 16; D. 8; E. No correct answer,B,extracted_images/2-multi.png,"Properties of Cones:
1. The base of a cone is a circle, and the lateral surface of a cone is a curved surface.
2. The distance from the apex of the cone to the center of the base is the height of the cone.
3. When the lateral surface of a cone is unfolded, it forms a sector.
4. The line segment from the apex of the cone to any point on the edge of the base is called the slant height of the cone, and all slant heights are equal in length.
Volume and Capacity of Cylinders:
1. The formula for calculating the volume of a cylinder: The volume of a cylinder = base area × height.
2. In terms of letters: If V represents the volume of the cylinder, where r is the radius of the base and h is the height of the cylinder, then the formula for the volume of the cylinder is: V = πr²h.
3. The capacity of a cylinder usually refers to the amount of space a cylindrical container can hold. In the absence of special instructions, capacity and volume can be considered the same concept, using the same units and calculation methods.
4. π is generally taken as 3.14.
Conversion Rates and Calculations Between Length Units:
1. Conversion Rates between Length Units: 1 kilometer (km) = 1000 meters (m); 1 meter (m) = 10 decimeters (dm); 1 decimeter (dm) = 10 centimeters (cm); 1 centimeter (cm) = 10 millimeters (mm); 1 millimeter (mm) = 1000 nanometers (nm)
2. Converting between Different Units: To convert from a larger unit to a smaller unit, multiply by the conversion rate. To convert from a smaller unit to a larger unit, divide by the conversion rate.
3. To convert kilometers to meters: multiply by 1000.
4. To convert meters to decimeters: multiply by 10.
5. To convert decimeters to centimeters: multiply by 10.
6. To convert centimeters to millimeters: multiply by 10.
7. To convert millimeters to nanometers: multiply by 1000.
8. To convert nanometers to millimeters: divide by 1000.
9. To convert millimeters to centimeters: divide by 10.
10. To convert centimeters to decimeters: divide by 10.
11. To convert decimeters to meters: divide by 10.
12. To convert meters to kilometers: divide by 1000."
3stpes_3,"As shown in the figure, quadrilateral ABCD is a trapezoid, with the length of the lower base being twice the length of the upper base. What is the length of AD in cm?",Properties and Understanding of Trapezoids,A. 4; B. 3; C. 2; D. 1; E. No correct answer,C,extracted_images/3-1.png,"Properties and Understanding of Trapezoids:
1. A trapezoid (or trapezium) is a quadrilateral with only one pair of opposite sides parallel. The parallel sides are called the bases of the trapezoid: the longer base is called the lower base, and the shorter base is called the upper base; the other two sides are called the legs; the perpendicular segment between the two bases is called the height of the trapezoid.
2. A trapezoid with one leg perpendicular to the bases is called a right trapezoid.
3. A trapezoid with both legs equal in length is called an isosceles trapezoid.
4. The height of a trapezoid is the distance between the upper base and the lower base."
3stpes_3,"As shown in the figure, triangle DEC is rotated counterclockwise around point D by a certain angle, and it is found that point C' coincides with point A. What is the length of CD? ( ) cm",Rotation,A. 4; B. 3; C. 2; D. 1; E. No correct answer,C,extracted_images/3-2.png,"Rotation:
1. The rotation of a figure involves the movement of every point on the figure in the plane around a fixed point by a fixed angle. It can be described by three elements: the center of rotation, the direction of rotation, and the angle of rotation.
2. The distances from corresponding points to the center of rotation are equal.
3. The angle between the line segment connecting corresponding points and the center of rotation equals the angle of rotation.
4. The figures before and after rotation are congruent, meaning their size and shape remain unchanged.
5. The center of rotation is the unique fixed point."
